2018-10-18 11:05:53 INFO: charge_server start
2018-10-18 11:05:53 INFO: #0 charging...
2018-10-18 11:05:53 INFO: #1 charging...
2018-10-18 11:05:54 INFO: #0 charging...
2018-10-18 11:05:54 INFO: #1 charging...
2018-10-18 11:05:55 INFO: #0 charging...
2018-10-18 11:05:55 INFO: #1 charging...
2018-10-18 11:05:56 INFO: #0 charging...
2018-10-18 11:05:56 INFO: #1 charging...
2018-10-18 11:05:57 INFO: #0 charging...
2018-10-18 11:05:57 INFO: #1 charging...
2018-10-18 11:05:58 INFO: #0 charging...
2018-10-18 11:05:58 INFO: #1 charging...
2018-10-18 11:05:59 INFO: #0 charging...
2018-10-18 11:05:59 INFO: #1 charging...
2018-10-18 11:06:00 INFO: #0 charging...
2018-10-18 11:06:00 INFO: #1 charging...
2018-10-18 11:06:01 INFO: #0 charging...
2018-10-18 11:06:01 INFO: #1 charging...
2018-10-18 11:06:02 INFO: #0 charging...
2018-10-18 11:06:02 INFO: #1 charging...
2018-10-18 11:06:03 INFO: #0 charging...
2018-10-18 11:06:03 INFO: #1 charging...
2018-10-18 11:06:04 INFO: #0 charging...
2018-10-18 11:06:04 INFO: #1 charging...
2018-10-18 11:06:05 INFO: #0 charging...
2018-10-18 11:06:05 INFO: #1 charging...
2018-10-18 11:06:06 INFO: #0 charging...
2018-10-18 11:06:06 INFO: #1 charging...
2018-10-18 11:06:07 INFO: #0 charging...
2018-10-18 11:06:07 INFO: #1 charging...
2018-10-18 11:06:08 INFO: #0 charging...
2018-10-18 11:06:08 INFO: #1 charging...
2018-10-18 11:06:09 INFO: #0 charging...
2018-10-18 11:06:09 INFO: #1 charging...
2018-10-18 11:06:10 INFO: #0 charging...
2018-10-18 11:06:10 INFO: #1 charging...
2018-10-18 14:45:38 INFO: #0 charging...
2018-10-18 14:45:38 INFO: #1 charging...
2018-10-18 14:45:39 INFO: #0 charging...
2018-10-18 14:45:39 INFO: #1 charging...
2018-10-18 14:45:40 INFO: #0 charging...
2018-10-18 14:45:40 INFO: #1 charging...
2018-10-18 14:45:41 INFO: #0 charging...
2018-10-18 14:45:41 INFO: #1 charging...
2018-10-18 14:45:42 INFO: #0 charging...
2018-10-18 14:45:42 INFO: #1 charging...
2018-10-18 14:45:43 INFO: #0 charging...
2018-10-18 14:45:43 INFO: #1 charging...
2018-10-18 14:45:44 INFO: #0 charging...
2018-10-18 14:45:44 INFO: #1 charging...
2018-10-18 14:45:45 INFO: #0 charging...
2018-10-18 14:45:45 INFO: #1 charging...
2018-10-18 14:45:46 INFO: #0 charging...
2018-10-18 14:45:46 INFO: #1 charging...
2018-10-18 14:45:47 INFO: #0 charging...
2018-10-18 14:45:47 INFO: #1 charging...
2018-10-18 14:45:48 INFO: #0 charging...
2018-10-18 14:45:48 INFO: #1 charging...
2018-10-18 14:45:49 INFO: #0 charging...
2018-10-18 14:45:49 INFO: #1 charging...
2018-10-18 14:45:50 INFO: #0 charging...
2018-10-18 14:45:50 INFO: #1 charging...
2018-10-18 14:45:51 INFO: #0 charging...
2018-10-18 14:45:51 INFO: #1 charging...
2018-10-18 14:45:52 INFO: #0 charging...
2018-10-18 14:45:52 INFO: #1 charging...
2018-10-18 14:45:53 INFO: #0 charging...
2018-10-18 14:45:53 INFO: #1 charging...
2018-10-18 14:45:54 INFO: #0 charging...
2018-10-18 14:45:54 INFO: #1 charging...
2018-10-18 14:45:55 INFO: #0 charging...
2018-10-18 14:45:55 INFO: #1 charging...
2018-10-18 14:45:56 INFO: #0 charging...
2018-10-18 14:45:56 INFO: #1 charging...
2018-10-18 14:45:57 INFO: #0 charging...
2018-10-18 14:45:57 INFO: #1 charging...
2018-10-18 14:45:58 INFO: #0 charging...
2018-10-18 14:45:58 INFO: #1 charging...
2018-10-18 14:45:59 INFO: #0 charging...
2018-10-18 14:45:59 INFO: #1 charging...
2018-10-18 14:46:00 INFO: #0 charging...
2018-10-18 14:46:00 INFO: #1 charging...
2018-10-18 14:46:01 INFO: #0 charging...
2018-10-18 14:46:01 INFO: #1 charging...
2018-10-18 14:46:02 INFO: #0 charging...
2018-10-18 14:46:02 INFO: #1 charging...
2018-10-18 14:46:03 INFO: #0 charging...
2018-10-18 14:46:03 INFO: #1 charging...
2018-10-18 14:46:04 INFO: #0 charging...
2018-10-18 14:46:04 INFO: #1 charging...
2018-10-18 14:46:05 INFO: #0 charging...
2018-10-18 14:46:05 INFO: #1 charging...
2018-10-18 14:46:06 INFO: #0 charging...
2018-10-18 14:46:06 INFO: #1 charging...
2018-10-18 14:46:07 INFO: #0 charging...
2018-10-18 14:46:07 INFO: #1 charging...
2018-10-18 14:46:08 INFO: #0 charging...
2018-10-18 14:46:08 INFO: #1 charging...
2018-10-18 14:46:09 INFO: #0 charging...
2018-10-18 14:46:09 INFO: #1 charging...
2018-10-18 14:46:10 INFO: #0 charging...
2018-10-18 14:46:10 INFO: #1 charging...
2018-10-18 14:46:11 INFO: #0 charging...
2018-10-18 14:46:11 INFO: #1 charging...
2018-10-18 14:46:12 INFO: #0 charging...
2018-10-18 14:46:12 INFO: #1 charging...
2018-10-18 14:46:13 INFO: #0 charging...
2018-10-18 14:46:13 INFO: #1 charging...
2018-10-18 14:46:14 INFO: #0 charging...
2018-10-18 14:46:14 INFO: #1 charging...
2018-10-18 14:46:15 INFO: #0 charging...
2018-10-18 14:46:15 INFO: #1 charging...
2018-10-18 14:46:16 INFO: #0 charging...
2018-10-18 14:46:16 INFO: #1 charging...
2018-10-18 14:46:17 INFO: #0 charging...
2018-10-18 14:46:17 INFO: #1 charging...
2018-10-18 14:46:18 INFO: #0 charging...
2018-10-18 14:46:18 INFO: #1 charging...
2018-10-18 14:46:19 INFO: #0 charging...
2018-10-18 14:46:19 INFO: #1 charging...
2018-10-18 14:46:20 INFO: #0 charging...
2018-10-18 14:46:20 INFO: #1 charging...
2018-10-18 14:46:21 INFO: #0 charging...
2018-10-18 14:46:21 INFO: #1 charging...
2018-10-18 14:46:22 INFO: #0 charging...
2018-10-18 14:46:22 INFO: #1 charging...
2018-10-18 14:46:23 INFO: #0 charging...
2018-10-18 14:46:23 INFO: #1 charging...
2018-10-18 14:46:24 INFO: #0 charging...
2018-10-18 14:46:24 INFO: #1 charging...
2018-10-18 14:46:25 INFO: #0 charging...
2018-10-18 14:46:25 INFO: #1 charging...
2018-10-18 14:46:26 INFO: #0 charging...
2018-10-18 14:46:26 INFO: #1 charging...
2018-10-18 14:46:27 INFO: #0 charging...
2018-10-18 14:46:27 INFO: #1 charging...
2018-10-18 14:46:28 INFO: #0 charging...
2018-10-18 14:46:28 INFO: #1 charging...
2018-10-18 14:46:29 INFO: #0 charging...
2018-10-18 14:46:29 INFO: #1 charging...
2018-10-18 14:46:30 INFO: #0 charging...
2018-10-18 14:46:30 INFO: #1 charging...
2018-10-18 14:46:31 INFO: #0 charging...
2018-10-18 14:46:31 INFO: #1 charging...
2018-10-18 14:46:32 INFO: #0 charging...
2018-10-18 14:46:32 INFO: #1 charging...
2018-10-18 14:46:33 INFO: #0 charging...
2018-10-18 14:46:33 INFO: #1 charging...
2018-10-18 14:46:34 INFO: #0 charging...
2018-10-18 14:46:34 INFO: #1 charging...
2018-10-18 14:46:35 INFO: #0 charging...
2018-10-18 14:46:35 INFO: #1 charging...
2018-10-18 14:46:36 INFO: #0 charging...
2018-10-18 14:46:36 INFO: #1 charging...
2018-10-18 14:46:37 INFO: #0 charging...
2018-10-18 14:46:37 INFO: #1 charging...
2018-10-18 14:46:38 INFO: #0 charging...
2018-10-18 14:46:38 INFO: #1 charging...
2018-10-18 14:46:39 INFO: #0 charging...
2018-10-18 14:46:39 INFO: #1 charging...
2018-10-18 14:46:40 INFO: #0 charging...
2018-10-18 14:46:40 INFO: #1 charging...
2018-10-18 14:46:41 INFO: #0 charging...
2018-10-18 14:46:41 INFO: #1 charging...
2018-10-18 14:46:42 INFO: #0 charging...
2018-10-18 14:46:42 INFO: #1 charging...
2018-10-18 14:46:43 INFO: #0 charging...
2018-10-18 14:46:43 INFO: #1 charging...
2018-10-18 14:46:44 INFO: #0 charging...
2018-10-18 14:46:44 INFO: #1 charging...
2018-10-18 14:46:45 INFO: #0 charging...
2018-10-18 14:46:45 INFO: #1 charging...
2018-10-18 14:46:46 INFO: #0 charging...
2018-10-18 14:46:46 INFO: #1 charging...
2018-10-18 14:46:47 INFO: #0 charging...
2018-10-18 14:46:47 INFO: #1 charging...
2018-10-18 14:46:48 INFO: #0 charging...
2018-10-18 14:46:48 INFO: #1 charging...
2018-10-18 14:46:49 INFO: #0 charging...
2018-10-18 14:46:49 INFO: #1 charging...
2018-10-18 14:46:50 INFO: #0 charging...
2018-10-18 14:46:50 INFO: #1 charging...
2018-10-18 14:46:51 INFO: #0 charging...
2018-10-18 14:46:51 INFO: #1 charging...
2018-10-18 14:46:52 INFO: #0 charging...
2018-10-18 14:46:52 INFO: #1 charging...
2018-10-18 14:46:53 INFO: #0 charging...
2018-10-18 14:46:53 INFO: #1 charging...
2018-10-18 14:46:54 INFO: #0 charging...
2018-10-18 14:46:54 INFO: #1 charging...
2018-10-18 14:46:55 INFO: #0 charging...
2018-10-18 14:46:55 INFO: #1 charging...
2018-10-18 14:46:56 INFO: #0 charging...
2018-10-18 14:46:56 INFO: #1 charging...
2018-10-18 14:46:57 INFO: #0 charging...
2018-10-18 14:46:57 INFO: #1 charging...
2018-10-18 14:46:58 INFO: #0 charging...
2018-10-18 14:46:58 INFO: #1 charging...
2018-10-18 14:46:59 INFO: #0 charging...
2018-10-18 14:46:59 INFO: #1 charging...
2018-10-18 14:47:00 INFO: #0 charging...
2018-10-18 14:47:00 INFO: #1 charging...
2018-10-18 14:47:01 INFO: #0 charging...
2018-10-18 14:47:01 INFO: #1 charging...
2018-10-18 14:47:02 INFO: #0 charging...
2018-10-18 14:47:02 INFO: #1 charging...
2018-10-18 14:47:03 INFO: #0 charging...
2018-10-18 14:47:03 INFO: #1 charging...
2018-10-18 14:47:04 INFO: #0 charging...
2018-10-18 14:47:04 INFO: #1 charging...
2018-10-18 14:47:05 INFO: #0 charging...
2018-10-18 14:47:05 INFO: #1 charging...
2018-10-18 14:47:06 INFO: #0 charging...
2018-10-18 14:47:06 INFO: #1 charging...
2018-10-18 14:47:07 INFO: #0 charging...
2018-10-18 14:47:07 INFO: #1 charging...
2018-10-18 14:47:08 INFO: #0 charging...
2018-10-18 14:47:08 INFO: #1 charging...
2018-10-18 14:47:09 INFO: #0 charging...
2018-10-18 14:47:09 INFO: #1 charging...
2018-10-18 14:47:10 INFO: #0 charging...
2018-10-18 14:47:10 INFO: #1 charging...
2018-10-18 14:47:11 INFO: #0 charging...
2018-10-18 14:47:11 INFO: #1 charging...
2018-10-18 14:47:12 INFO: #0 charging...
2018-10-18 14:47:12 INFO: #1 charging...
2018-10-18 14:47:13 INFO: #0 charging...
